0NDSUCDC, 1990
7
13
4 Age 0-4
4 Age 5-9
4 Age 10-14
4 Age 15
4 Age 16
4 Age 17
1799
00100Abercrom001800190025000200030005
00140Abercrom002200200021000500030007
00220Acme tow000300000002000000000001
00260Acton to000800200012000400030004
00300Ada town000300010005000200010000
00340Adams ci001700190008000200020004
00380Adams to000500040005000300030003
00420Addie to000400020004000200000001
00500Addison 000700070008000200000001
00540Adelaide000100060001000100020001
00580Adler to000300040002000100000001
00660Adrian t001100080014000200030002
00700Advance 001000210020000500050001
00740Afton to004900540039001100100010
00820Agnes to000600070009000300020002
00900Akra tow002500320025000400030002
00940Alamo ci000100050003000100000000
00980Albert t000600070008000100020002
01020Albertha000000000003000000010004
01060Albion t000200040006000000000000
01100Alden to000100020002000100000000
01140Alex tow000600090004000100000000
01180Alexande001600180020000600030006
01220Alexande000400010001000000010002
01260Alexande000200070005000300010001
01300Alexandr000000020000000000010000
01380Alger to000400020006000100010000
01420Alice ci000700050005000100030000
01460Aliceton001100090014000200030001
01540Alleghan000400050007000000020001
01580Allen to000400070006000000010002
01620Allendal002000410031000200070005
01660Alma tow000000040006000100010003
01700Almont c000600160008000000020001
01740Alsen ci001100030003000100010004
01780Alta tow001200070005000000000000
01860Ambrose 000200030004000200010002
01900Ambrose 000300030002000000010000
01940Amenia c000400050008000100020002
01980Amenia t000700130014000300010002
02020Americus000800150012000600030004
02060Amidon c000000020002000000000000
02100Amity to000200040003000100000001
02140Amor tow000000010001000000000001
02180Amundsvi000300080006000100020001
02220Anamoose001400160017000700030003
02260Anamoose001000070007000000020001
02300Anderson000200060007000100020000
02340Andrews 000700040000000000000000
02380Aneta ci000900200016000100020002
02420Anna tow000200020006000000020001
02540Antelope001700130010000100010001
02600Antelope000200010001000000000000
02620Antelope000100000003000000020002
02660Antler c000500070005000100010001
02700Antler t000400090010000100030000
02780Apple Cr010900900094001700170022
02860Ardoch c000300090006000100000000
02900Ardoch t001400110008000200000002
03020Argusvil001000100013000400030006
03100Armourda000500020007000000000003
03180Arne tow000100030003000300010000
03220Arnegard001200070013000000000002
03260Arnegard000300000006000000030001
03300Arthur c002100170020000200030002
03340Arthur t000700040003000100000002
03420Arvilla 001900320030000900030007
03460Ashby to000000000000000000000000
03500Ashland 000600100009000100020002
03540Ashley c003000500050000600090014
03580Ashtabul000800140008000100020001
03620Athens t000500000002000000000000
03660Atkins t000700080006000100010002
03700Atwood t000100060008000000000000
03820Aurena t000500010002000000020001
03860Aurora t000400000003000000000001
03900Austin t000100010003000100000003
03940Avon tow001400130017000100050002
04020Ayr city000000000000000000000001
04060Ayr town000500030004000100020000
04140Baden to000100020004000100000001
04180Badger t000500070004000000010001
04220Baer tow000600040003000100000001
04300Baker to000300020006000300010001
04340Baldwin 000300010001000100010000
04420Bale tow000500050013000200020001
04460Balfour 000300000002000000000001
04500Balfour 000200020002000000010000
04540Ball Hil001100080010000100020003
04580Balta ci000300010007000200010000
04620Balta to000200120002000100020000
04660Banner t000300070005000100010000
04700Banner t000300040002000000040001
04740Bantry c000000010001000000000000
04780Bantry t000100070008000300010002
04900Barnes t003200220029000100010009
04940Barney c000900110010000100020000
04980Barney t001400190011000300000002
