3NDSUCDC, 1993
8
12
7 1990
7 1995 P1
7 2000 P1
7 2010 P1
7 1995 P2
7 2000 P2
7 2010 P2
53
001Adams       3174   3008   2829   2477   3022   2857   2534
003Barnes     12545  11976  11365  10235  12020  11448  10411
005Benson      7198   7130   7071   7117   7170   7160   7317
007Billings    1108   1089   1054    952   1093   1061    967
009Bottineau   8011   7590   7091   6262   7617   7153   6400
011Bowman      3596   3421   3190   2737   3439   3232   2827
013Burke       3002   2732   2510   2142   2750   2544   2206
015Burleigh   60131  61847  62889  64197  61886  62973  64370
017Cass      102874 110358 117674 128717 110027 116943 127234
019Cavalier    6064   5702   5306   4662   5736   5377   4808
021Dickey      6107   5686   5285   4590   5720   5353   4731
023Divide      2899   2690   2469   2079   2698   2489   2122
025Dunn        4005   3821   3613   3221   3848   3671   3330
027Eddy        2951   2776   2586   2291   2789   2611   2346
029Emmons      4830   4599   4302   3696   4619   4346   3800
031Foster      3983   3780   3546   3165   3798   3584   3248
033G. Valley   2108   2005   1867   1581   2016   1885   1621
035G. Forks   70683  73862  76172  77123  73886  76248  77509
037Grant       3549   3337   3097   2724   3359   3138   2804
039Griggs      3303   3166   3008   2758   3175   3029   2811
041Hettinger   3445   3265   3044   2651   3282   3084   2740
043Kidder      3332   3181   2994   2640   3198   3029   2710
045LaMoure     5383   5045   4698   4085   5070   4752   4200
047Logan       2847   2642   2413   2020   2657   2449   2084
049McHenry     6528   6132   5742   5395   6162   5803   5235
051McIntosh    4021   3728   3395   2847   3740   3421   2906
053McKenzle    6383   6199   5942   5495   6247   6040   5696
055McLean     10457   9848   9218   8187   9905   9339   8432
057Mercer      9808   9913   9879   9904   9940   9942  10060
059Morton     23700  23380  22791  21668  23484  23008  22130
061Mountrail   7021   6851   6655   6317   6877   6713   6457
063Nelson      4410   4128   3871   3432   4135   3894   3498
065Oliver      2381   2358   2272   2071   2366   2288   2122
067Pembina     9238   8888   8482   7699   8926   8565   7884
069Pierce      5052   4687   4300   3661   4715   4356   3775
071Ramsey     12681  12517  12303  11816  12544  12361  11942
073Ransom      5921   5689   5420   4915   5707   5459   5004
075Renville    3160   3003   2813   2489   3014   2839   2540
077Richland   18148  17615  16910  15890  17658  16991  16070
079Rolette    12772  13445  14071  15161  13491  14178  15426
081Sargent     4549   4356   4113   3696   4379   4166   3805
083Sheridan    2148   1944   1750   1426   1961   1782   1479
085Sioux       3761   3999   4235   4726   4019   4283   4837
087Slope        907    866    821    726    869    827    745
089Stark      22832  22219  21354  19727  22348  21606  20206
091Steele      2420   2250   2071   1747   2269   2112   1821
093Stutsman   22241  21438  20439  18546  21531  20623  18903
095Towner      3627   3425   3242   2929   3436   3265   2987
097Traill      8752   8423   8088   7551   8444   8131   7648
099Walsh      13840  13386  12826  11841  13441  12944  12082
101Ward       57921  57874  56940  54111  58143  57484  55186
103Wells       5864   5480   5060   4363   5507   5116   4479
105Williams   21129  20363  19420  17781  20490  19672  18272
