1NDDPI, 1998
43
21
1 Type
3 PK Enroll
4 K Enroll
4 1-6 Enroll
4 7-8 Enroll
4 9-12 Enroll
5 PK-12 Enroll
6 Avg PK Member
7 Avg K Member
7 Avg 1-6 Member
7 Avg 7-8 Member
7 Avg 9-12 Member
9 Avg PK-12 Member
4 91 Census 0-5
5 91 Census 6-17
4 93 Census 0-5
5 93 Census 6-17
4 95 Census 0-5
5 95 Census 6-17
9 Tax Val
9 Tax Val / Pupil
6 G F Mill Levy
6 Tot Mill Levy
9 Tot Revenue
9 Fund Group 1 Exp
8 Avg Cost / Pupil
5 PK Teachers
5 K Teachers
6 1-6 Teachers
6 7-8 Teachers
6 9-12 Teachers
3 Bus Routes
5 Pupils Transport
8 Tot Mileage
4 81 Census 0-5
5 81 Census 6-17
4 87 Census 0-5
5 87 Census 6-17
3 Number Buses
10Transport Exp
4 97 Census 0-5
5 97 Census 6-17
232
01003Reeder 3        2000000300140005000000022000.000003.000023.250012.500000.00000038.75002400074002100059002100061000963265019658.47155.72175.1400031136700035043706712.9800.0000.50001.80001.20000.0000200017023528.00036001080038001000030036476.22001600049
01013Hettinger 13    1001003501880079017000473000.000031.420184.160072.030182.67000470.28016000498013200465015900467005320332011902.31160.27190.9900247089300239155703956.1400.0001.00012.04003.43008.4301500208212571.20217004820247005020150190046.22012700447
02002Valley City 2   1021008705310217046701323000.000075.950579.580211.270536.21001403.01062601388051901357046001401011105404008159.74187.30223.3100605050500586963203597.8801.0002.00030.00008.50020.2000900317143776.00683015790603014190150216863.33047601361
02013Oriska 13       1000000700560009003300105000.000006.000041.840009.080039.48000096.40003200088003200096003300101001748135018597.18171.59176.4500061773000060904905119.8500.0000.50003.20001.50003.2600800123076385.00046001030039001210050060869.00003500094
02052Litchville 52   2000000900920000000000101000.000023.390087.960000.000000.00000111.35005200110005500134004600137003060220021400.14111.43111.4300076377000074527805769.9600.0000.50008.80000.00000.0000500116097347.00051001510053001060060082735.44005700143
02065N Central 65    1000001300740040008900216000.000008.000098.170045.750077.50000229.42006500251005700267005600238004150063017659.84163.91172.6700140854900137194704549.1900.0000.50007.01002.42005.6401100244157069.00130002660102002420120159541.78006300235
02082Wimbledon-Courte1001001300900034008500223000.000014.170085.730028.000073.61000201.51006400193006400191006300188003082475016223.55171.94173.0800117885500117983304738.4500.0000.50006.00001.89002.9900600149107882.00100002060097001990080134521.33006700190
03005Minnewaukan 5   1000000800690020004200139000.000008.720052.970029.330048.23000139.25004700150005500158005200150001332609010019.62185.00210.5000077504900078917804897.4800.0000.50006.27001.50003.4000600102084192.00072001860060001470060066004.11004100133
03006Leeds 6         1001001300930039008900235001.000009.970100.300041.280084.07000236.62008800225007900242006200241003985163017711.84154.32167.3200139598300139773204684.8000.0000.60005.75001.61006.1100900136151815.10110002480097001930090145006.89006000225
03009Maddock 9       1000001700970046007600236000.590015.370115.970040.620087.70000260.25007400197007300198006900235003558465015207.12167.70177.7000129816300129585804174.0200.0000.60006.26001.73006.5600500174107324.00104002800084002050080130251.67007400234
03016Oberon 16       2000000000280004000000032000.000000.000029.990007.120000.00000037.11001700035001700037000900026000900213034623.58111.09135.2400032559200033617407098.0400.0000.00003.75000.88000.0000100036013494.00033000630018000450040021935.89001400026
03029Warwick 29      1000002501360035005900255000.000029.050118.480036.860055.75000240.14011000274012700292014300308001021362003085.69145.42145.4200175527400146151504403.0200.0001.00006.55002.17003.9200700272088900.00155002990146002620060153080.11011200331
