2NDDPI, 1998
13
31
1 Type
3 PK Enroll
3 K Enroll
3 1-6 Enroll
3 7-8 Enroll
4 9-12 Enroll
5 PK Teacher
6 K Teacher
6 1-6 Teacher
6 7-8 Teacher
6 9-12 Teacher
3 Rooms
428
0010A L Hagen Jr High School   2000000000487000000.00000.00000.00022.00000.00029
0081Adams Public School        5001009044020004300.00000.50004.69001.01003.05015
0176Agassiz Middle School      2000000511588000000.00000.00023.00023.00000.00057
0201Harney Elem School         9000000008000000000.00000.00001.00000.00000.00001
0315Alexander Public School    5000004047025005200.00000.50005.50002.00006.50021
0349Almont Elem School         1000007022008000000.00000.50003.00001.20000.00006
0373Amidon Elem School         1000001007005000000.00000.15001.18000.67000.00002
0389Anamoose Public School     5000006049022003000.00000.33003.51001.06003.92016
0486Apple Creek Elem School    1000000046000000000.00000.00003.00000.00000.00003
0525Northern Cass Jr-Sr High Sc5000000000058012000.00000.00000.00003.76009.31017
0539Ashley Public School       5000012086035008900.20000.50007.00001.71005.99026
0713Ben Franklin Jr High School2000000000684030700.00000.00000.00035.30017.10062
0772Bakker Elem School         1000004006002000000.00000.33001.33000.34000.00004
0792Baldwin Elem School        1000000011002000000.00000.00001.34000.66000.00002
0850Beach High School          5000000000059020300.00000.00000.00003.23012.19023
0869Belair Elem School         1000068337000000000.00001.50016.00000.00000.00020
0884Belfield Public School     5000022135045014800.00001.00008.07003.00009.85030
0886Bell Elem School           1003012091034000000.00001.00006.50002.50000.00010
0892Phoenix Elem School        1000048227000000000.00001.00011.00000.00000.00012
0896Ben Franklin Elem School   1003053395000000000.00001.50018.00000.00000.00026
0902Maddock Public School      5000017097046007600.00000.60006.26001.73006.56026
0916Berthold Public School     5000017093031006900.00000.58006.00002.00005.73016
0924Beulah High School         3000000000000035100.00000.00000.00000.00017.14025
0926Beulah Middle School       1000000189200000000.00000.00008.67008.84000.00028
0928Beulah Elem School         1000049269000000000.00001.50016.00000.00000.00027
0958Midkota Elem School        1000011087000000000.00000.50006.00000.00000.00017
0964Bisbee-Egeland High School 5000000000022005400.00000.00000.00001.45004.20013
0970Bismarck High School       3000000000000155900.00000.00000.00000.00067.77083
0990Bob Callies Elem School    1009028175000000000.61001.00010.00000.00000.00015
1028Border Central Public Schoo5000002016007001900.00000.50003.00001.13003.50015
1033Bottineau Jr-Sr High School5000000204133025900.00000.00012.00006.75019.25043
1035Bottineau Elem School      1004048188000000001.00001.50009.00000.00000.00014
1037Bowbells Public School     5000014046020003900.00000.50005.55001.40004.83016
1039Bowdon Elem School         1000008030063000000.00000.50002.95002.25000.00017
1043Bowman Public School       5004026201078016800.00001.00012.60004.15010.20042
1144Pingree-Buchanan Elem Schoo1001009064000000000.00000.50005.50000.00000.00008
1148Maple Valley High School   5000000000038009600.00000.00000.00002.75008.00009
1225Butte Public School        5000001016007002200.00000.50003.14001.20003.42013
1277Cando Public School        5005015148067011400.50000.50009.00002.88005.62029
1278Cannon Ball Elem School    1010019097000000001.00001.50009.50000.00000.00018
1285Carl Ben Eielson Elem Schoo1000084311000000000.00002.00016.00000.00000.00021
1290Carl Ben Eielson Elem Schoo1012074415000000001.00002.00022.00000.00000.00038
1303Carrington Elem School     1004052356065000000.30001.50018.00003.00000.00027
1304Carrington High School     5000000000059023100.00000.00000.00002.72011.42024
1306Roosevelt Public School    5000012067025004700.00000.50006.37001.71004.29018
1323Cavalier Public School     5003033284125022501.00001.00016.00006.28010.16049
1348Centennial Elem School     1000070386000000000.00001.50019.00000.00000.00027
1350Center Public School       5000015129069012100.00000.50007.50004.00009.40041
1354Central Cass Public School 5015055350146025301.00001.50017.00004.70012.51052
